Time,Position,Velocity
1705983169.754484,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983169.8499515,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983169.9461625,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.0421295,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.1537366,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.249677,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.34573,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.4576654,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.5536265,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.6493618,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.7452562,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.8572295,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983170.953133,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.0491433,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.1450102,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.2568595,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.352683,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.4486377,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.544363,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983171.656303,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
